SFR	SD_GAS
0.001155	4.238
0.00151	2.41
0.002521	3.489
0.08962	37.64
0.003659	14.82
0.01055	11.94
0.02804	16.67
0.003456	4.48
0.0007511	4.611
0.002887	3.688
0.008468	5.914
0.01652	27.55
0.01851	37.03
0.001921	1.722
0.002396	2.764
0.04018	15.81
0.00602	15.28
0.003999	6.452
0.002194	8.055
0.002036	3.223
0.002283	4.677
0.006034	5.987
0.001308	4.681
0.04236	34.9
0.004636	12.49
0.002062	0.9267
0.003585	3.617
0.003701	2.471
0.002052	3.795
0.001889	5.467
0.001756	2.251
0.002575	2.416
0.07338	33.9
0.00509	10.91
0.001776	1.96
0.004519	4.34
0.001767	1.756
0.005508	3.99
0.001495	2.534
0.002332	5.358
0.01321	18.22
0.001854	4.711
0.003957	4.036
0.002246	1.831
0.002655	2.812
0.002588	2.816
0.001853	4.782
0.00162	1.364
0.00329	4.986
0.003056	5.117
0.001799	3.112
0.001441	0.5857
0.004373	6.343
0.001364	1.316
0.002011	4.16
0.001501	2.484
0.002928	3.638
0.001724	3.862
0.001428	2.874
0.00134	0.9844
0.008756	1.691
0.003998	5.606
0.001985	2.855
0.001485	2.55
0.003792	0.6606
0.002699	1.333
0.002139	0.3122
0.001032	0.6866
0.005711	2.126
0.002639	3.138
0.001139	1.359
0.003539	0.7748
0.001918	2.404
0.02651	71.03
0.02046	46.82
0.01774	41.92
0.01468	39.66
0.01777	46.41
0.01754	24.1
0.02138	48.54
0.02524	59.28
0.02454	38.05
0.0171	43.04
0.01028	31.54
0.04088	46.19
0.01462	28.71
0.04052	59.53
0.009551	14.32
0.02426	39.23
0.01053	28.38
0.005891	12.24
0.008187	20.03
0.005986	10.5
0.009726	25.73
0.01522	25.74
0.004903	16.86
0.007764	26.4
0.005429	18.56
0.005586	12.61
0.0119	24.45
0.00294	13.46
0.001034	4.312
0.00147	7.012
0.003111	5.406
0.006593	8.193
0.001473	5.205
0.001332	7.159
0.0006297	3.352
0.0005591	3.62
0.003136	11.25
0.002042	8.406
0.0004866	1.629
0.001397	3.743
0.002452	9.424
0.001159	4.838
0.002691	10.37
0.0009699	3.095
0.001564	3.598
0.00191	4.684
0.00283	8.296
0.001519	3.063
0.0014	4.071
0.0004502	1.187
0.0004751	1.61
0.0004864	2.342
0.0009434	1.149
0.0007657	1.897
0.0004044	1.345
0.0007627	1.636
0.0008344	1.25
0.0004627	0.3903
0.0007661	0.7926
0.0006174	0.6737
0.0005312	0.6892
0.007233	7.464
0.004622	7.676
0.005459	7.4
0.003613	6.382
0.003073	3.989
0.003027	4.511
0.002121	3.476
0.001998	3.117
0.001302	2.366
0.001643	2.477
0.0007032	0.7573
0.0008868	0.5987
0.0005133	0.4296
0.0004222	0.3336
0.0004025	0.3651
0.0006453	0.1083
0.01107	8.895
0.006022	4.681
0.01032	6.946
0.009265	6.333
0.006745	5.449
0.008109	4.643
0.004561	2.937
0.003552	2.94
0.002163	2.83
0.001585	1.902
0.002467	1.808
0.004941	2.35
0.004527	2.784
0.00112	0.929
0.00128	0.8553
0.001121	1.506
0.003443	1.763
0.002088	1.077
0.0007744	0.8913
0.0009146	0.1803
0.6492	497.0
0.06148	96.99
0.1059	48.81
0.08312	104.9
0.0832	142.9
0.08066	133.2
0.009026	18.04
0.006623	2.501
0.004588	20.52
0.005438	15.84
0.004895	5.099
0.002466	1.535
0.004142	6.525
0.003568	6.036
0.008115	11.42
0.002512	4.283
0.004453	5.005
0.001748	4.804
0.003607	1.82
0.001558	0.996
0.002689	2.81
0.002703	12.99
0.002816	4.661
0.004978	10.8
0.002895	7.697
0.001924	2.689
0.00354	5.011
0.0009815	1.519
0.001734	1.678
0.002774	3.226
0.007491	7.783
0.002061	4.502
0.004974	4.821
0.003719	20.48
0.003074	6.569
0.0045	15.03
0.005366	13.85
0.007025	17.14
0.002148	4.855
0.0008371	2.204
0.001598	9.154
0.0007249	3.136
0.01456	0.6848
0.01347	0.4221
0.01314	0.6702
0.01384	1.158
0.01353	0.4377
0.01349	0.1249
0.006999	3.784
0.007849	4.233
0.007332	4.811
0.00735	5.118
0.007057	5.268
0.006548	5.441
0.006805	6.479
0.006748	7.267
0.006385	8.167
0.007011	7.296
0.006159	9.619
0.006661	8.395
0.005662	8.433
0.006851	10.09
0.005751	9.399
0.005712	10.92
0.005824	9.472
0.006138	9.636
0.005361	10.57
0.005339	9.619
0.005236	10.35
0.006265	10.85
0.004603	6.447
0.005119	8.025
0.004233	8.445
0.00516	9.843
0.004108	9.147
0.004151	8.54
0.003987	7.527
0.004673	7.805
0.003591	8.106
0.004112	7.548
0.003983	6.085
0.003441	8.341
0.00371	6.814
0.004589	8.08
0.002879	6.172
0.003753	8.224
0.003168	4.591
0.002991	7.105
0.002868	5.565
0.003305	7.475
0.002415	2.348
0.002883	4.923
0.002194	4.533
0.002883	4.706
0.001983	3.58
0.00223	2.951
0.002531	1.352
